Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
start	18.0 ms	0.7%	12.2 ms	578.0 ms	96,219
undertow	25.4 ms	0.9%	91.5 ms	1420.0 ms	12
go	26.4 ms	1.0%	24.9 ms	211.8 ms	0
cpoll_cppsp-postgres	26.6 ms	1.0%	24.6 ms	235.4 ms	0
revel	27.1 ms	1.0%	25.4 ms	210.6 ms	0
revel-qbs	27.2 ms	1.0%	21.4 ms	170.2 ms	0
undertow	29.1 ms	1.1%	43.2 ms	783.4 ms	0
falcore	29.4 ms	1.1%	36.1 ms	383.9 ms	0
openresty	29.9 ms	1.1%	31.4 ms	695.5 ms	0
undertow edge	31.4 ms	1.1%	57.2 ms	833.0 ms	0
onion-raw	31.6 ms	1.1%	60.8 ms	6880.0 ms	91
servlet-raw	31.8 ms	1.2%	42.1 ms	1480.0 ms	0
undertow edge	33.8 ms	1.2%	49.0 ms	346.8 ms	0
undertow edge	34.6 ms	1.3%	112.2 ms	1050.0 ms	18
gemini	34.8 ms	1.3%	17.7 ms	740.3 ms	0
restexpress-mongodb	39.0 ms	1.4%	50.8 ms	696.7 ms	0
ninja-standalone	46.0 ms	1.7%	34.9 ms	1100.0 ms	0
undertow	46.9 ms	1.7%	80.1 ms	369.1 ms	0
scalatra-raw	49.8 ms	1.8%	38.6 ms	1070.0 ms	0
ninja-standalone	53.7 ms	1.9%	27.3 ms	720.2 ms	0
servlet-postgres-raw	54.7 ms	2.0%	113.9 ms	665.0 ms	0
wicket	57.0 ms	2.1%	35.8 ms	1120.0 ms	0
tornado-pypy	57.8 ms	2.1%	26.9 ms	175.2 ms	10
compojure-raw	63.5 ms	2.3%	100.0 ms	1110.0 ms	0
luminus-raw	65.0 ms	2.4%	109.5 ms	907.2 ms	0
ringojs	68.3 ms	2.5%	53.3 ms	835.3 ms	0
yesod	68.7 ms	2.5%	13.0 ms	126.1 ms	0
activeweb	70.9 ms	2.6%	29.3 ms	686.5 ms	3
compojure	71.0 ms	2.6%	125.3 ms	1400.0 ms	0
elli	71.3 ms	2.6%	10.0 ms	107.3 ms	0
luminus	74.5 ms	2.7%	76.0 ms	664.6 ms	0
play-slick	75.9 ms	2.7%	80.6 ms	746.2 ms	0
treefrog-thread	78.3 ms	2.8%	50.5 ms	528.0 ms	0
dropwizard	79.8 ms	2.9%	61.1 ms	1510.0 ms	0
play-java-ebean	80.4 ms	2.9%	29.8 ms	334.4 ms	0
play-scala-anorm	81.7 ms	3.0%	58.2 ms	813.6 ms	0
spark	82.4 ms	3.0%	37.5 ms	373.2 ms	0
cowboy	83.7 ms	3.0%	25.8 ms	262.6 ms	0
