Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
tapestry	84.1 ms	3.0%	70.1 ms	1670.0 ms	0
http-kit	88.2 ms	3.2%	7.0 ms	106.5 ms	0
php-raw	91.0 ms	3.3%	368.4 ms	6130.0 ms	0
stream	92.4 ms	3.3%	171.4 ms	3170.0 ms	2
ringojs-conv	96.5 ms	3.5%	53.0 ms	411.4 ms	0
play-java-jpa	100.0 ms	3.6%	76.6 ms	775.8 ms	0
dart	101.4 ms	3.7%	218.9 ms	3970.0 ms	0
cpoll_cppsp-postgres	115.8 ms	4.2%	208.4 ms	1150.0 ms	0
treefrog	118.1 ms	4.3%	120.2 ms	979.5 ms	0
yaf-raw	122.6 ms	4.4%	267.6 ms	8240.0 ms	0
start	123.6 ms	4.5%	277.5 ms	2860.0 ms	0
grails	124.7 ms	4.5%	48.6 ms	953.8 ms	0
stream	126.1 ms	4.6%	245.0 ms	2320.0 ms	0
cpoll_cppsp-raw	130.7 ms	4.7%	438.3 ms	1930.0 ms	0
express-mongodb	134.3 ms	4.9%	37.1 ms	246.2 ms	0
play1-siena	134.4 ms	4.9%	8.6 ms	179.9 ms	0
bottle-mysql-raw	134.6 ms	4.9%	18.0 ms	315.2 ms	0
php-phalcon-micro	137.5 ms	5.0%	396.0 ms	11270.0 ms	0
lapis	140.7 ms	5.1%	469.7 ms	2120.0 ms	0
spring	148.9 ms	5.4%	5.8 ms	163.8 ms	0
express-mysql	154.5 ms	5.6%	47.7 ms	488.1 ms	0
hapi-mysql	158.7 ms	5.8%	76.5 ms	777.4 ms	0
hapi	161.7 ms	5.9%	45.0 ms	325.5 ms	0
flask	173.0 ms	6.3%	25.7 ms	515.5 ms	0
flask-pypy	177.3 ms	6.4%	99.6 ms	541.8 ms	0
plain	180.7 ms	6.5%	525.9 ms	9320.0 ms	0
sinatra-jruby	187.9 ms	6.8%	27.7 ms	727.0 ms	0
tornado	205.7 ms	7.5%	54.4 ms	379.0 ms	3
snap	220.3 ms	8.0%	71.1 ms	497.0 ms	0
plain-servlet-linux	230.5 ms	8.4%	1010.0 ms	14590.0 ms	0
urweb-postgres	236.6 ms	8.6%	9.2 ms	303.5 ms	0
unfiltered	236.6 ms	8.6%	3.3 ms	246.3 ms	0
tornado-py3	238.9 ms	8.7%	75.3 ms	419.4 ms	0
micromvc	258.5 ms	9.4%	95.8 ms	791.1 ms	0
yesod	268.0 ms	9.7%	121.1 ms	716.9 ms	0
php-phalcon	268.7 ms	9.7%	87.3 ms	1040.0 ms	0
bottle	310.8 ms	11.3%	61.4 ms	804.5 ms	0
rails-stripped-jruby	310.8 ms	11.3%	145.9 ms	1310.0 ms	0
flask	314.5 ms	11.4%	55.9 ms	728.1 ms	0
bottle-nginx-uwsgi	314.8 ms	11.4%	8.1 ms	337.4 ms	0
grizzly-jersey	319.0 ms	11.6%	7.3 ms	341.6 ms	0
phpixie	330.1 ms	12.0%	147.5 ms	2830.0 ms	0
django-postgresql	330.1 ms	12.0%	78.5 ms	841.8 ms	0
django	334.9 ms	12.1%	82.7 ms	885.3 ms	0
flask-nginx-uwsgi	337.4 ms	12.2%	16.6 ms	384.9 ms	0
rails-jruby	343.9 ms	12.5%	46.5 ms	835.2 ms	0
flask-pypy	347.9 ms	12.6%	254.3 ms	1430.0 ms	0
nancy-libevent2	348.1 ms	12.6%	184.4 ms	1360.0 ms	9,353
bottle-py3	357.4 ms	13.0%	72.3 ms	951.2 ms	0
django-py3	360.1 ms	13.0%	84.4 ms	1010.0 ms	0
flask-py3	372.1 ms	13.5%	74.5 ms	861.3 ms	0
rails-stripped-ruby	386.3 ms	14.0%	31.9 ms	655.7 ms	0
restexpress-mysql-ra	413.3 ms	15.0%	197.0 ms	1310.0 ms	0
play1	433.1 ms	15.7%	49.8 ms	610.6 ms	0
urweb-mysql	450.8 ms	16.3%	23.0 ms	561.7 ms	0
rails-ruby	469.1 ms	17.0%	43.0 ms	738.9 ms	0
lift-stateless	488.0 ms	17.7%	87.5 ms	948.0 ms	0
codeigniter-raw	577.2 ms	20.9%	728.8 ms	12740.0 ms	0
phreeze	672.6 ms	24.4%	387.2 ms	2230.0 ms	0
php-kohana-raw	734.7 ms	26.6%	484.8 ms	8410.0 ms	0
fuel	977.9 ms	35.4%	442.3 ms	9770.0 ms	0
lithium	986.3 ms	35.7%	330.9 ms	6230.0 ms	0
aspnet-mvc-mono	1140.0 ms	41.3%	214.8 ms	1620.0 ms	0
aspnet-mvc-mono	1330.0 ms	48.2%	621.4 ms	3110.0 ms	0
nancy	1560.0 ms	56.5%	864.9 ms	6810.0 ms	3,025
silex-orm	1800.0 ms	65.2%	1270.0 ms	6150.0 ms	657
symfony2-raw	1910.0 ms	69.2%	1940.0 ms	5210.0 ms	811
symfony2	1920.0 ms	69.6%	1910.0 ms	5630.0 ms	829
symfony2	1990.0 ms	72.1%	2010.0 ms	8990.0 ms	883
symfony2	1990.0 ms	72.1%	2080.0 ms	9960.0 ms	877
sinatra-ruby	2760.0 ms	100.0%	510.6 ms	3180.0 ms	157
