Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
undertow	1,114	100.0%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	28
undertow edge	1,101	98.8%	Plt	Jav	Und	Non	Lin	Mo	Lin	Raw	Rea	42
stream	1,015	91.1%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	25
falcore	736	66.1%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
go	736	66.1%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel	726	65.2%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
cpoll_cppsp-raw	717	64.4%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
undertow edge	672	60.3%	Plt	Jav	Und	Non	Lin	My	Lin	Raw	Rea	0
undertow edge	668	60.0%	Plt	Jav	Und	Non	Lin	Pg	Lin	Raw	Rea	0
undertow	663	59.5%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
php-raw	657	59.0%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
undertow	657	59.0%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
servlet-raw	654	58.7%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
openresty	647	58.1%	Plt	Lua	OpR	ngx	Lin	My	Lin	Raw	Rea	0
yaf-raw	642	57.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
servlet-postgres-raw	627	56.3%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
dropwizard	618	55.5%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
gemini	608	54.6%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
scalatra-raw	594	53.3%	Mcr	Sca	Svt	Res	Lin	My	Lin	Raw	Rea	0
revel-qbs	591	53.1%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
restexpress-mongodb	588	52.8%	Mcr	Jav	Nty	Non	Lin	Mo	Lin	Raw	Rea	0
ninja-standalone	538	48.3%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
php-phalcon-micro	530	47.6%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
ringojs	522	46.9%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
ninja-standalone	512	46.0%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
tapestry	502	45.1%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
wicket	499	44.8%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
cpoll_cppsp-postgres	469	42.1%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	0
play-java-ebean	468	42.0%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
spark	466	41.8%	Mcr	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
grails	422	37.9%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
dart	412	37.0%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
stream	391	35.1%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
tornado-pypy	390	35.0%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	13
lift-stateless	386	34.6%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
start	383	34.4%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
play1-siena	352	31.6%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
restexpress-mysql-ra	346	31.1%	Mcr	Jav	Nty	Non	Lin	My	Lin	Raw	Rea	0
luminus-raw	336	30.2%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
onion-raw	322	28.9%	Plt	C	Oni	Non	Lin	My	Lin	Raw	Rea	153
compojure-raw	308	27.6%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
ringojs-conv	301	27.0%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	0
play-scala-anorm	283	25.4%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
treefrog-thread	282	25.3%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
luminus	281	25.2%	Mcr	Clj	Svt	Res	Lin	My	Lin	Ful	Rea	0
treefrog	277	24.9%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
yesod	273	24.5%	Mcr	Hkl	Wai	Wrp	Lin	Mo	Lin	Raw	Rea	0
activeweb	252	22.6%	Plt	Jav	Act	Res	Lin	My	Lin	Raw	Rea	0
compojure	252	22.6%	Mcr	Clj	Svt	Res	Lin	My	Lin	Mcr	Rea	0
play-java-jpa	250	22.4%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	46
elli	235	21.1%	Plt	Erl	eli	Non	Lin	My	Lin	Raw	Rea	0
codeigniter-raw	229	20.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
play-slick	225	20.2%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
micromvc	218	19.6%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
phpixie	213	19.1%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
cowboy	212	19.0%	Plt	Erl	Cow	Non	Lin	My	Lin	Raw	Rea	0
lapis	207	18.6%	Ful	Lua	OpR	ngx	Lin	Pg	Lin	Ful	Rea	0
bottle-mysql-raw	199	17.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	29
flask	188	16.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	32
php-kohana-raw	186	16.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
php-phalcon	184	16.5%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
flask-pypy	177	15.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
express-mongodb	167	15.0%	Mcr	JS	njs	Non	Lin	Mo	Lin	Ful	Rea	0
http-kit	156	14.0%	Plt	Clj	htk	Non	Lin	My	Lin	Raw	Rea	0
hapi	155	13.9%	Mcr	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
flask-pypy	142	12.7%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
urweb-postgres	140	12.6%	Ful	Ur	Ur/	Non	Lin	Pg	Lin	Mcr	Rea	0
aspnet-mvc-mono	139	12.5%	Ful	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
grizzly-jersey	137	12.3%	Mcr	Jav	Svt	Grz	Lin	My	Lin	Ful	Rea	0
sinatra-jruby	131	11.8%	Mcr	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
phreeze	130	11.7%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Mcr	Rea	0
spring	120	10.8%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	0
tornado	120	10.8%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	3
django-postgresql	108	9.7%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	280
tornado-py3	106	9.5%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	4
rails-stripped-jruby	105	9.4%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Str	0
rails-stripped-ruby	104	9.3%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Str	0
django	103	9.2%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	267
rails-jruby	102	9.2%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
play1	100	9.0%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
rails-ruby	100	9.0%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
django-py3	98	8.8%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	326
bottle	95	8.5%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	368
fuel	95	8.5%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
bottle-nginx-uwsgi	94	8.4%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
flask-nginx-uwsgi	93	8.3%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
flask	91	8.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	278
bottle-py3	82	7.4%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	341
flask-py3	82	7.4%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	386
hapi-mysql	79	7.1%	Mcr	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
express-mysql	76	6.8%	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
plain	75	6.7%	Ful	Sca	Pla	Non	Lin	My	Lin	Mcr	Rea	0
snap	75	6.7%	Mcr	Hkl	Snp	Non	Lin	My	Lin	Ful	Rea	0
plain-servlet-linux	74	6.6%	Ful	Sca	Pla	Non	Lin	My	Lin	Ful	Rea	0
silex-orm	61	5.5%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	344
unfiltered	57	5.1%	Mcr	Sca	Nty	Non	Lin	My	Lin	Mcr	Rea	0
lithium	53	4.8%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
symfony2-raw	41	3.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	586
