Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
cpoll_cppsp-raw	4.4 ms	0.3%	1.0 ms	49.2 ms	0
gemini	5.2 ms	0.4%	3.2 ms	112.9 ms	0
undertow edge	5.8 ms	0.4%	1.5 ms	28.5 ms	0
undertow edge	5.9 ms	0.4%	1.4 ms	24.0 ms	0
undertow	6.4 ms	0.5%	14.3 ms	629.5 ms	0
start	6.5 ms	0.5%	5.6 ms	29.5 ms	398,527
undertow	6.5 ms	0.5%	23.4 ms	643.2 ms	0
nawak	6.8 ms	0.5%	7.9 ms	90.3 ms	0
undertow edge	7.4 ms	0.5%	8.4 ms	63.0 ms	0
go	9.2 ms	0.7%	7.0 ms	54.2 ms	0
hhvm	9.7 ms	0.7%	1.3 ms	27.1 ms	0
php-raw	9.8 ms	0.7%	15.9 ms	523.9 ms	0
revel	9.9 ms	0.7%	7.5 ms	71.1 ms	0
urweb-mysql	10.4 ms	0.7%	0.2 ms	12.4 ms	0
revel-qbs	11.5 ms	0.8%	7.6 ms	65.0 ms	0
compojure	12.9 ms	0.9%	47.1 ms	1030.0 ms	0
grizzly-jersey	15.3 ms	1.1%	2.9 ms	65.2 ms	0
wicket	16.4 ms	1.2%	33.2 ms	391.3 ms	0
lapis	16.4 ms	1.2%	13.2 ms	207.1 ms	0
urweb-postgres	16.4 ms	1.2%	0.7 ms	18.8 ms	0
luminus	16.7 ms	1.2%	57.3 ms	1070.0 ms	0
falcore	17.4 ms	1.3%	4.9 ms	37.2 ms	0
yaf-raw	17.6 ms	1.3%	17.2 ms	313.5 ms	0
servlet-raw	18.4 ms	1.3%	47.7 ms	219.3 ms	0
play-slick	18.7 ms	1.3%	15.1 ms	669.6 ms	0
dart	19.3 ms	1.4%	49.0 ms	1130.0 ms	0
start	19.8 ms	1.4%	54.6 ms	1420.0 ms	0
play-scala-anorm	20.3 ms	1.5%	91.2 ms	1480.0 ms	0
undertow	21.3 ms	1.5%	95.7 ms	627.7 ms	0
php-phalcon-micro	23.3 ms	1.7%	21.0 ms	330.5 ms	0
stream	24.9 ms	1.8%	62.1 ms	1200.0 ms	0
treefrog	25.0 ms	1.8%	22.0 ms	341.4 ms	0
grails	26.8 ms	1.9%	18.3 ms	233.1 ms	0
stream	27.0 ms	1.9%	58.4 ms	1010.0 ms	0
bottle-mysql-raw	30.5 ms	2.2%	13.8 ms	136.2 ms	0
activeweb	33.5 ms	2.4%	40.6 ms	349.7 ms	0
spring	36.8 ms	2.6%	1.7 ms	51.5 ms	0
ninja-standalone	37.2 ms	2.7%	67.5 ms	700.0 ms	0
ninja-standalone	39.6 ms	2.8%	51.1 ms	883.6 ms	0
treefrog-thread	40.0 ms	2.9%	1.1 ms	48.2 ms	0
php-phalcon	42.1 ms	3.0%	39.2 ms	509.6 ms	0
flask	45.4 ms	3.3%	17.0 ms	171.4 ms	0
ringojs-conv	46.1 ms	3.3%	51.9 ms	852.7 ms	0
ringojs	46.5 ms	3.3%	53.2 ms	717.6 ms	0
flask-pypy	58.0 ms	4.2%	66.4 ms	953.0 ms	0
phpixie	59.2 ms	4.3%	51.5 ms	519.8 ms	0
flask-pypy	70.6 ms	5.1%	64.0 ms	789.7 ms	0
codeigniter-raw	71.6 ms	5.1%	40.3 ms	309.2 ms	0
pyramid-py2	72.7 ms	5.2%	5.3 ms	109.0 ms	0
bottle-nginx-uwsgi	76.5 ms	5.5%	4.2 ms	123.6 ms	0
bottle	78.4 ms	5.6%	28.7 ms	265.9 ms	0
pyramid-py3	83.6 ms	6.0%	5.2 ms	206.0 ms	0
flask	84.4 ms	6.1%	32.5 ms	310.0 ms	0
flask-nginx-uwsgi	84.5 ms	6.1%	4.2 ms	122.1 ms	0
bottle-py3	84.8 ms	6.1%	33.1 ms	282.0 ms	0
bottle-pypy	90.5 ms	6.5%	96.1 ms	805.2 ms	0
flask-py3	92.9 ms	6.7%	31.2 ms	313.8 ms	0
rails-jruby	98.7 ms	7.1%	28.5 ms	748.8 ms	0
django-postgresql	116.8 ms	8.4%	43.1 ms	365.4 ms	0
php-kohana-raw	118.0 ms	8.5%	65.0 ms	488.6 ms	0
django	126.7 ms	9.1%	47.2 ms	510.5 ms	0
django-py3	129.6 ms	9.3%	43.8 ms	372.4 ms	0
rails-ruby	137.7 ms	9.9%	22.7 ms	739.2 ms	0
laravel-raw	191.0 ms	13.7%	195.5 ms	909.7 ms	10,751
fuel	218.6 ms	15.7%	95.5 ms	640.4 ms	0
symfony2-raw	437.8 ms	31.5%	445.4 ms	2190.0 ms	4,426
symfony2	438.8 ms	31.6%	454.9 ms	1900.0 ms	4,448
symfony2	500.9 ms	36.0%	461.9 ms	1980.0 ms	3,743
symfony2	526.8 ms	37.9%	471.0 ms	1740.0 ms	3,721
play-activate-mysql	1390.0 ms	100.0%	859.2 ms	2230.0 ms	0
