Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
servlet	1.2 ms	0.0%	0.2 ms	8.6 ms	0
go	1.2 ms	0.0%	0.4 ms	23.7 ms	0
gemini	1.2 ms	0.0%	0.4 ms	14.1 ms	0
grizzly	1.2 ms	0.0%	0.2 ms	11.3 ms	0
ur/web	1.2 ms	0.0%	0.1 ms	3.8 ms	0
jetty-servlet	1.3 ms	0.0%	4.1 ms	624.0 ms	0
netty	1.3 ms	0.0%	0.4 ms	11.1 ms	0
cpoll_cppsp	1.3 ms	0.0%	0.1 ms	5.2 ms	0
openresty	1.3 ms	0.0%	0.5 ms	75.9 ms	0
beego	1.4 ms	0.0%	0.7 ms	10.5 ms	0
rack-jruby	1.4 ms	0.0%	5.5 ms	632.9 ms	0
undertow edge	1.4 ms	0.0%	0.3 ms	10.4 ms	0
onion	1.4 ms	0.0%	16.1 ms	6460.0 ms	52
undertow	1.4 ms	0.0%	4.0 ms	626.3 ms	0
revel	1.6 ms	0.0%	0.8 ms	13.1 ms	0
elli	1.6 ms	0.0%	0.4 ms	8.6 ms	0
falcore	1.6 ms	0.0%	0.8 ms	12.7 ms	0
http-kit	1.9 ms	0.0%	6.3 ms	1460.0 ms	0
spark	1.9 ms	0.0%	9.0 ms	203.4 ms	0
webgo	2.1 ms	0.0%	1.1 ms	26.8 ms	0
wai	2.2 ms	0.0%	2.8 ms	51.7 ms	0
grizzly-jersey	2.2 ms	0.0%	3.1 ms	63.3 ms	0
wsgi-nginx-uwsgi	2.3 ms	0.1%	2.2 ms	50.7 ms	0
restexpress	2.3 ms	0.1%	19.7 ms	680.1 ms	0
wicket	2.3 ms	0.1%	1.3 ms	43.6 ms	0
tapestry	2.4 ms	0.1%	4.9 ms	151.7 ms	0
lapis	2.5 ms	0.1%	2.9 ms	508.8 ms	0
compojure	2.6 ms	0.1%	7.1 ms	177.9 ms	0
activeweb	2.6 ms	0.1%	3.4 ms	94.7 ms	0
cowboy	2.7 ms	0.1%	2.9 ms	50.8 ms	0
bottle-pypy	3.0 ms	0.1%	9.7 ms	584.3 ms	0
falcon-pypy	3.1 ms	0.1%	9.0 ms	478.7 ms	0
tornado-pypy	3.3 ms	0.1%	2.9 ms	73.8 ms	0
