Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
ur/web	4.4 ms	0.1%	0.8 ms	18.9 ms	0
cpoll_cppsp	4.7 ms	0.1%	2.4 ms	15.6 ms	0
undertow	5.2 ms	0.1%	14.6 ms	700.1 ms	0
netty	5.3 ms	0.1%	5.2 ms	42.7 ms	0
undertow edge	6.0 ms	0.1%	2.3 ms	26.1 ms	0
openresty	6.5 ms	0.1%	5.0 ms	89.2 ms	0
plain-servlet-linux	6.6 ms	0.1%	6.1 ms	612.8 ms	0
grizzly	7.2 ms	0.1%	8.8 ms	869.6 ms	0
plain	7.2 ms	0.1%	4.3 ms	537.2 ms	0
rack-jruby	8.7 ms	0.1%	6.7 ms	629.9 ms	0
go	9.2 ms	0.1%	3.5 ms	34.1 ms	0
gemini	11.4 ms	0.2%	24.7 ms	1050.0 ms	0
http-kit	12.0 ms	0.2%	3.6 ms	224.7 ms	0
jetty-servlet	12.6 ms	0.2%	9.8 ms	222.0 ms	0
revel	12.7 ms	0.2%	4.8 ms	42.8 ms	0
beego	14.3 ms	0.2%	5.4 ms	48.4 ms	0
falcore	14.9 ms	0.2%	5.3 ms	47.3 ms	0
servlet	15.0 ms	0.2%	143.7 ms	4250.0 ms	0
elli	15.0 ms	0.2%	1.7 ms	26.6 ms	0
wai	15.4 ms	0.2%	8.8 ms	78.0 ms	0
spark	15.7 ms	0.2%	44.1 ms	2960.0 ms	0
restexpress	15.9 ms	0.2%	13.4 ms	674.1 ms	0
webgo	17.6 ms	0.3%	6.3 ms	50.9 ms	0
lapis	17.8 ms	0.3%	34.5 ms	958.4 ms	0
tornado-pypy	18.1 ms	0.3%	7.2 ms	108.9 ms	0
grizzly-jersey	18.8 ms	0.3%	3.8 ms	46.2 ms	0
compojure	20.8 ms	0.3%	22.7 ms	1450.0 ms	0
wsgi-nginx-uwsgi	21.1 ms	0.3%	10.4 ms	583.5 ms	0
cowboy	22.5 ms	0.4%	6.3 ms	73.0 ms	0
tapestry	23.4 ms	0.4%	18.3 ms	1210.0 ms	0
scalatra	24.4 ms	0.4%	67.2 ms	4340.0 ms	0
play-scala-anorm	24.6 ms	0.4%	13.7 ms	674.4 ms	0
activeweb	25.2 ms	0.4%	59.0 ms	1720.0 ms	0
falcon-pypy	25.5 ms	0.4%	50.6 ms	367.4 ms	0
wsgi	26.4 ms	0.4%	4.7 ms	60.7 ms	0
ninja-standalone	26.7 ms	0.4%	57.9 ms	531.8 ms	0
nodejs	27.4 ms	0.4%	2.8 ms	62.2 ms	0
luminus	27.6 ms	0.4%	34.4 ms	981.1 ms	0
play1-siena	28.6 ms	0.4%	20.2 ms	688.3 ms	0
yesod	28.7 ms	0.5%	15.1 ms	129.7 ms	0
wicket	28.9 ms	0.5%	29.4 ms	827.1 ms	0
dropwizard	31.0 ms	0.5%	111.5 ms	2020.0 ms	0
treefrog-thread	31.4 ms	0.5%	20.1 ms	250.9 ms	0
falcon	33.6 ms	0.5%	15.1 ms	117.8 ms	0
bottle	34.5 ms	0.5%	14.4 ms	113.8 ms	0
play-java-jpa	38.7 ms	0.6%	17.4 ms	685.3 ms	0
falcon-py3	39.6 ms	0.6%	15.7 ms	122.0 ms	0
express	40.9 ms	0.6%	10.1 ms	106.7 ms	0
snap	42.3 ms	0.7%	3.7 ms	63.2 ms	0
uwsgi-nginx-uwsgi	42.8 ms	0.7%	7.5 ms	105.7 ms	0
rack-ruby	43.2 ms	0.7%	12.6 ms	164.6 ms	0
bottle-py3	43.2 ms	0.7%	21.0 ms	176.8 ms	0
php	43.9 ms	0.7%	166.9 ms	4490.0 ms	0
bottle-nginx-uwsgi	46.3 ms	0.7%	53.1 ms	247.3 ms	0
grails	47.9 ms	0.8%	149.0 ms	5310.0 ms	0
ringojs-conv	48.0 ms	0.8%	71.4 ms	668.8 ms	0
spring	48.8 ms	0.8%	8.0 ms	118.2 ms	0
lift-stateless	49.9 ms	0.8%	24.8 ms	407.5 ms	0
sinatra-jruby	59.3 ms	0.9%	22.5 ms	761.5 ms	0
treefrog	60.0 ms	0.9%	24.7 ms	180.8 ms	0
uwsgi	60.9 ms	1.0%	18.8 ms	107.6 ms	0
flask-pypy	65.2 ms	1.0%	34.5 ms	410.6 ms	0
ringojs	66.7 ms	1.1%	186.3 ms	1520.0 ms	0
tornado	67.6 ms	1.1%	10.7 ms	156.6 ms	0
dart	71.1 ms	1.1%	158.9 ms	4160.0 ms	0
yaf-raw	76.6 ms	1.2%	234.5 ms	5790.0 ms	0
php-phalcon-micro	81.3 ms	1.3%	285.9 ms	6690.0 ms	0
tornado-py3	82.5 ms	1.3%	21.6 ms	130.4 ms	0
start	83.6 ms	1.3%	239.0 ms	5170.0 ms	0
hapi	85.5 ms	1.3%	26.1 ms	183.5 ms	0
flask	89.0 ms	1.4%	28.8 ms	267.9 ms	0
stream	91.1 ms	1.4%	186.1 ms	3010.0 ms	0
nancy-libevent2	91.1 ms	1.4%	41.5 ms	202.0 ms	0
flask-py3	95.1 ms	1.5%	24.3 ms	290.9 ms	0
flask-nginx-uwsgi	101.0 ms	1.6%	4.0 ms	129.0 ms	0
sinatra-ruby	109.0 ms	1.7%	15.8 ms	368.9 ms	0
php-phalcon	123.6 ms	1.9%	456.5 ms	9600.0 ms	0
micromvc	137.7 ms	2.2%	493.3 ms	11440.0 ms	0
phpixie	162.9 ms	2.6%	87.3 ms	780.0 ms	0
rails-stripped-jruby	168.2 ms	2.6%	24.0 ms	383.9 ms	0
django-postgresql	180.1 ms	2.8%	37.0 ms	436.7 ms	0
django	184.5 ms	2.9%	37.6 ms	473.8 ms	0
django-py3	199.4 ms	3.1%	32.0 ms	464.3 ms	0
rails-jruby	230.0 ms	3.6%	40.3 ms	775.8 ms	0
rails-stripped-ruby	250.6 ms	3.9%	29.6 ms	510.1 ms	0
phreeze	275.0 ms	4.3%	181.0 ms	600.8 ms	0
play1	317.9 ms	5.0%	40.4 ms	800.5 ms	0
rails-ruby	339.4 ms	5.3%	31.9 ms	575.6 ms	0
slim	385.5 ms	6.1%	317.9 ms	5510.0 ms	0
codeigniter	468.3 ms	7.4%	129.7 ms	1090.0 ms	0
php-kohana	489.5 ms	7.7%	575.9 ms	13620.0 ms	0
fuel	678.8 ms	10.7%	825.0 ms	13680.0 ms	0
silex-orm	724.4 ms	11.4%	475.9 ms	2890.0 ms	1,864
cake	1060.0 ms	16.7%	353.4 ms	3470.0 ms	0
nancy	1070.0 ms	16.9%	744.4 ms	4480.0 ms	0
racket-ws	1140.0 ms	18.0%	1600.0 ms	5400.0 ms	0
lithium	1400.0 ms	22.0%	478.1 ms	1770.0 ms	0
symfony2	1570.0 ms	24.7%	1630.0 ms	6640.0 ms	889
laravel	2080.0 ms	32.8%	1390.0 ms	3410.0 ms	1,696
symfony2	6350.0 ms	100.0%	1900.0 ms	7300.0 ms	880
