Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
tornado-pypy	3,244	25.2%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	0
nodejs-mongodb	3,229	25.1%	Plt	JS	njs	Non	Lin	Mo	Lin	Ful	Rea	0
phreeze	3,107	24.2%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Mcr	Rea	0
express-mongodb	3,103	24.1%	Mcr	JS	njs	Non	Lin	Mo	Lin	Ful	Rea	0
play-java-jpa	3,045	23.7%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
hapi	2,940	22.9%	Mcr	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
play1-siena	2,874	22.4%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
grails	2,662	20.7%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
http-listener	2,625	20.4%	Plt	C#	Net	hts	Win	My	Lin	Raw	Rea	0
fuel	2,522	19.6%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
aspnet-mvc-mono	2,452	19.1%	Ful	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
cpoll_cppsp-postgres	2,327	18.1%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	0
lift-stateless	2,190	17.0%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
django-postgresql	2,075	16.1%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	0
flask-pypy	2,031	15.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
tornado	2,018	15.7%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	0
play-scala-anorm	1,909	14.8%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
http-listener	1,894	14.7%	Plt	C#	Net	hts	Win	Pg	Lin	Raw	Rea	0
tornado-py3	1,878	14.6%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	0
django	1,810	14.1%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
django-py3	1,720	13.4%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
restexpress-mysql-ra	1,551	12.1%	Mcr	Jav	Nty	Non	Lin	My	Lin	Raw	Rea	8,087
aspnet-postgresql-en	1,512	11.8%	Ful	C#	Net	IIS	Win	Pg	Lin	Ful	Rea	0
compojure	1,429	11.1%	Mcr	Clj	Svt	Res	Lin	My	Lin	Mcr	Rea	0
spring	1,416	11.0%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	0
bottle-nginx-uwsgi	1,415	11.0%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
servicestack	1,382	10.7%	Plt	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
snap	1,370	10.7%	Mcr	Hkl	Snp	Non	Lin	My	Lin	Ful	Rea	0
compojure-raw	1,358	10.6%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
luminus-raw	1,334	10.4%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
flask-nginx-uwsgi	1,317	10.2%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
luminus	1,285	10.0%	Mcr	Clj	Svt	Res	Lin	My	Lin	Ful	Rea	0
lapis	1,250	9.7%	Ful	Lua	OpR	ngx	Lin	Pg	Lin	Ful	Rea	2,413
elli	1,218	9.5%	Plt	Erl	eli	Non	Lin	My	Lin	Raw	Rea	0
bottle	1,196	9.3%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask	1,111	8.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
pyramid-py2	1,107	8.6%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	29
aspnet-mysql-entityf	1,076	8.4%	Ful	C#	Net	IIS	Win	My	Lin	Ful	Rea	0
bottle-py3	1,017	7.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
lithium	1,012	7.9%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
cowboy	978	7.6%	Plt	Erl	Cow	Non	Lin	My	Lin	Raw	Rea	0
pyramid-py3	974	7.6%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	30
flask-py3	969	7.5%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
silex-orm	901	7.0%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	13,357
bottle-pypy	738	5.7%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
sinatra-jruby	714	5.6%	Mcr	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
flask-pypy	684	5.3%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
symfony2-raw	673	5.2%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	10,057
symfony2	619	4.8%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Str	9,245
rails-stripped-ruby	618	4.8%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Str	0
play-scala-anorm	596	4.6%	Ful	Sca	Nty	Non	Win	My	Lin	Ful	Rea	589
