Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
tornado-py3	396.9 ms	6.2%	228.2 ms	1130.0 ms	18
symfony2-raw	399.0 ms	6.2%	426.1 ms	2290.0 ms	4,805
silex-orm	434.6 ms	6.7%	432.5 ms	1640.0 ms	4,540
django-postgresql	444.6 ms	6.9%	133.0 ms	1190.0 ms	0
servicestack	452.7 ms	7.0%	91.9 ms	539.8 ms	78
django	494.2 ms	7.7%	163.4 ms	1360.0 ms	0
rails-stripped-jruby	499.3 ms	7.7%	73.1 ms	683.2 ms	0
django-py3	519.6 ms	8.1%	146.3 ms	1230.0 ms	0
rails-jruby	529.9 ms	8.2%	98.6 ms	1210.0 ms	0
symfony2	543.4 ms	8.4%	589.6 ms	2440.0 ms	3,346
symfony2	546.5 ms	8.5%	592.4 ms	3430.0 ms	3,335
flask-pypy	549.1 ms	8.5%	556.1 ms	2820.0 ms	0
rails-stripped-ruby	569.4 ms	8.8%	45.3 ms	1100.0 ms	0
bottle-nginx-uwsgi	578.5 ms	9.0%	15.9 ms	670.0 ms	0
bottle	598.7 ms	9.3%	213.6 ms	2030.0 ms	0
rails-ruby	603.8 ms	9.4%	31.0 ms	1210.0 ms	0
flask-nginx-uwsgi	611.7 ms	9.5%	32.6 ms	787.3 ms	0
pyramid-py2	630.9 ms	9.8%	28.7 ms	721.0 ms	17
flask	631.2 ms	9.8%	174.3 ms	1660.0 ms	0
lithium	679.0 ms	10.5%	153.5 ms	1230.0 ms	0
flask-py3	717.3 ms	11.1%	203.7 ms	1820.0 ms	0
bottle-py3	717.8 ms	11.1%	239.0 ms	2040.0 ms	0
pyramid-py3	723.0 ms	11.2%	49.6 ms	811.5 ms	14
bottle-pypy	928.6 ms	14.4%	972.0 ms	4390.0 ms	0
spark	2270.0 ms	35.2%	802.6 ms	3250.0 ms	0
sinatra-ruby	6450.0 ms	100.0%	7280.0 ms	15050.0 ms	1,336,755
