Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
start	18.3 ms	0.2%	10.9 ms	570.3 ms	207,845
ninja-standalone	282.4 ms	3.8%	225.8 ms	1600.0 ms	10,772
stream	523.9 ms	7.1%	1060.0 ms	7380.0 ms	8
undertow	671.8 ms	9.1%	134.1 ms	1140.0 ms	10
undertow edge	687.9 ms	9.3%	138.3 ms	1160.0 ms	13
grails	707.6 ms	9.5%	670.8 ms	4160.0 ms	0
ninja-standalone	868.7 ms	11.7%	695.6 ms	7620.0 ms	153
go	1070.0 ms	14.4%	252.3 ms	2130.0 ms	0
falcore	1070.0 ms	14.4%	264.5 ms	2040.0 ms	0
revel	1090.0 ms	14.7%	244.1 ms	2220.0 ms	0
undertow edge	1110.0 ms	15.0%	244.8 ms	2150.0 ms	0
undertow	1120.0 ms	15.1%	251.1 ms	2320.0 ms	0
servlet-raw	1140.0 ms	15.4%	272.6 ms	2070.0 ms	0
cpoll_cppsp-raw	1160.0 ms	15.7%	336.4 ms	2840.0 ms	0
gemini	1160.0 ms	15.7%	298.0 ms	2480.0 ms	0
php-raw	1160.0 ms	15.7%	315.6 ms	2510.0 ms	0
ringojs	1180.0 ms	15.9%	321.5 ms	2570.0 ms	0
undertow edge	1380.0 ms	18.6%	202.2 ms	2240.0 ms	0
revel-qbs	1400.0 ms	18.9%	342.9 ms	3350.0 ms	0
undertow	1420.0 ms	19.2%	282.0 ms	2120.0 ms	0
activeweb	1450.0 ms	19.6%	270.9 ms	2170.0 ms	0
play-scala-anorm	1620.0 ms	21.9%	453.8 ms	3250.0 ms	0
start	1730.0 ms	23.3%	798.1 ms	4840.0 ms	0
dart	1840.0 ms	24.8%	1010.0 ms	5680.0 ms	0
stream	1900.0 ms	25.6%	893.1 ms	4940.0 ms	0
lapis	2000.0 ms	27.0%	889.5 ms	5750.0 ms	0
treefrog-thread	2040.0 ms	27.5%	436.5 ms	3530.0 ms	0
ringojs-conv	2080.0 ms	28.1%	1410.0 ms	8160.0 ms	0
php-phalcon	2090.0 ms	28.2%	250.4 ms	2770.0 ms	0
treefrog	2140.0 ms	28.9%	361.7 ms	3420.0 ms	0
phreeze	2150.0 ms	29.0%	299.9 ms	2820.0 ms	0
servlet-postgres-raw	2180.0 ms	29.4%	443.9 ms	3280.0 ms	0
express-mongodb	2340.0 ms	31.6%	695.1 ms	3110.0 ms	0
phpixie	2350.0 ms	31.7%	343.4 ms	3100.0 ms	0
hapi	2380.0 ms	32.1%	92.8 ms	2530.0 ms	0
aspnet-mvc-mono	2700.0 ms	36.4%	630.0 ms	3820.0 ms	0
play-slick	2930.0 ms	39.5%	908.6 ms	5470.0 ms	0
bottle	3750.0 ms	50.6%	1870.0 ms	9600.0 ms	254
flask-py3	3860.0 ms	52.1%	2230.0 ms	8040.0 ms	320
bottle-py3	3900.0 ms	52.6%	1420.0 ms	6440.0 ms	267
urweb-postgres	3910.0 ms	52.8%	752.6 ms	5000.0 ms	0
flask-nginx-uwsgi	4010.0 ms	54.1%	785.6 ms	5230.0 ms	0
flask	4230.0 ms	57.1%	2270.0 ms	8320.0 ms	291
bottle-nginx-uwsgi	4320.0 ms	58.3%	1010.0 ms	5690.0 ms	0
bottle-mysql-raw	4440.0 ms	59.9%	2060.0 ms	8600.0 ms	218
django-postgresql	4750.0 ms	64.1%	2020.0 ms	8230.0 ms	197
urweb-mysql	5260.0 ms	71.0%	1100.0 ms	7240.0 ms	0
flask-pypy	5320.0 ms	71.8%	2550.0 ms	8850.0 ms	0
rails-jruby	5600.0 ms	75.6%	1250.0 ms	7900.0 ms	0
rails-ruby	5940.0 ms	80.2%	5660.0 ms	11410.0 ms	74,334
flask	6110.0 ms	82.5%	2690.0 ms	10480.0 ms	181
spring	6600.0 ms	89.1%	1320.0 ms	9460.0 ms	0
django	6780.0 ms	91.5%	2660.0 ms	10850.0 ms	151
wicket	6920.0 ms	93.4%	1720.0 ms	10010.0 ms	0
django-py3	7160.0 ms	96.6%	2490.0 ms	10870.0 ms	146
aspnet-mvc-mono	7410.0 ms	100.0%	2080.0 ms	11200.0 ms	0
