Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
bottle	19,329	8.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
spring	18,950	8.5%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	0
play-scala-anorm	18,476	8.2%	Ful	Sca	Nty	Non	Win	My	Lin	Ful	Rea	0
http-listener	18,325	8.2%	Plt	C#	Net	hts	Win	My	Lin	Raw	Rea	0
php-phalcon	17,575	7.8%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
play1	17,500	7.8%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
micromvc	17,450	7.8%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
aspnet-mysql-entityf	16,926	7.6%	Ful	C#	Net	IIS	Win	My	Lin	Ful	Rea	0
play1-siena	16,620	7.4%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
flask-pypy	16,378	7.3%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
bottle-py3	16,212	7.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
aspnet-postgresql-ra	15,554	6.9%	Ful	C#	Net	IIS	Win	Pg	Lin	Raw	Rea	0
phpixie	15,506	6.9%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
bottle-nginx-uwsgi	15,497	6.9%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
flask	15,158	6.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-py3	13,539	6.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
snap	12,452	5.6%	Mcr	Hkl	Snp	Non	Lin	My	Lin	Ful	Rea	0
codeigniter-raw	12,143	5.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
aspnet-postgresql-en	11,650	5.2%	Ful	C#	Net	IIS	Win	Pg	Lin	Ful	Rea	0
pyramid-py2	11,625	5.2%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	13
flask-nginx-uwsgi	11,168	5.0%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
django	10,685	4.8%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
django-py3	10,583	4.7%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
django-postgresql	10,570	4.7%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	0
pyramid-py3	10,409	4.6%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	10
bottle-pypy	8,750	3.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
php-kohana-raw	7,769	3.5%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
phreeze	6,480	2.9%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Mcr	Rea	0
flask-pypy	6,160	2.7%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
yesod	5,983	2.7%	Mcr	Hkl	Wai	Wrp	Lin	Mo	Lin	Raw	Rea	0
aspnet-stripped-raw	5,658	2.5%	Ful	C#	Net	IIS	Win	Pg	Lin	Raw	Str	0
fuel	5,513	2.5%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
sinatra-jruby	5,359	2.4%	Mcr	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
rails-stripped-ruby	4,944	2.2%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Str	0
lift-stateless	4,809	2.1%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	8
http-listener	4,681	2.1%	Plt	C#	Net	hts	Win	Pg	Lin	Raw	Rea	0
lithium	4,062	1.8%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
rails-ruby	4,032	1.8%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
aspnet-mvc-mono	3,957	1.8%	Ful	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
rails-stripped-jruby	3,612	1.6%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Str	0
servicestack	3,503	1.6%	Plt	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
rails-jruby	3,371	1.5%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
restexpress-mysql-ra	2,333	1.0%	Mcr	Jav	Nty	Non	Lin	My	Lin	Raw	Rea	4,901
silex-orm	1,571	0.7%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	16,362
sinatra-ruby	1,003	0.4%	Mcr	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
symfony2	952	0.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Str	12,805
aspnet-mvc-mono	623	0.3%	Ful	C#	Mon	ngx	Lin	My	Lin	Ful	Rea	0
symfony2	622	0.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Str	8,943
symfony2	618	0.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	8,861
nancy	0	0.0%	Mcr	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	14,041
nancy-libevent2	0	0.0%	Mcr	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	49,876
nancy	0	0.0%	Mcr	C#	Net	IIS	Win	My	Lin	Raw	Rea	76,140
