Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
sinatra-ruby	14.5 ms	0.2%	14.7 ms	123.1 ms	164,562
start	18.4 ms	0.2%	12.0 ms	600.8 ms	207,794
undertow	217.7 ms	2.6%	92.2 ms	899.7 ms	28
undertow edge	232.0 ms	2.7%	90.1 ms	872.8 ms	42
stream	248.5 ms	2.9%	615.9 ms	4250.0 ms	25
servlet-postgres-raw	271.2 ms	3.2%	163.9 ms	983.7 ms	0
undertow edge	279.5 ms	3.3%	122.0 ms	720.6 ms	0
undertow	294.2 ms	3.5%	149.8 ms	1090.0 ms	0
falcore	343.7 ms	4.1%	79.8 ms	638.0 ms	0
go	344.3 ms	4.1%	105.6 ms	893.8 ms	0
cpoll_cppsp-raw	347.1 ms	4.1%	174.7 ms	905.7 ms	0
revel	350.7 ms	4.1%	93.2 ms	830.7 ms	0
undertow edge	378.0 ms	4.5%	83.8 ms	775.7 ms	0
php-raw	378.1 ms	4.5%	161.4 ms	1050.0 ms	0
undertow	381.4 ms	4.5%	110.5 ms	816.5 ms	0
servlet-raw	386.5 ms	4.6%	138.0 ms	1170.0 ms	0
yaf-raw	389.1 ms	4.6%	129.0 ms	965.7 ms	0
openresty	389.9 ms	4.6%	98.7 ms	939.7 ms	0
dropwizard	402.7 ms	4.7%	156.9 ms	1160.0 ms	0
onion-raw	409.5 ms	4.8%	239.8 ms	5480.0 ms	153
restexpress-mongodb	418.9 ms	4.9%	162.7 ms	1350.0 ms	0
gemini	421.2 ms	5.0%	96.8 ms	1110.0 ms	0
scalatra-raw	425.0 ms	5.0%	120.9 ms	914.4 ms	0
revel-qbs	433.2 ms	5.1%	112.7 ms	926.1 ms	0
php-phalcon-micro	475.7 ms	5.6%	149.1 ms	898.5 ms	0
ninja-standalone	479.9 ms	5.7%	259.3 ms	2270.0 ms	0
ringojs	480.7 ms	5.7%	103.8 ms	1090.0 ms	0
ninja-standalone	497.2 ms	5.9%	123.9 ms	1300.0 ms	0
tapestry	507.1 ms	6.0%	127.4 ms	2000.0 ms	0
wicket	511.6 ms	6.0%	103.2 ms	1120.0 ms	0
play-java-ebean	523.4 ms	6.2%	150.7 ms	1850.0 ms	0
cpoll_cppsp-postgres	530.1 ms	6.3%	396.1 ms	2120.0 ms	0
spark	542.6 ms	6.4%	91.9 ms	997.0 ms	0
dart	590.3 ms	7.0%	471.7 ms	2540.0 ms	0
grails	609.2 ms	7.2%	130.8 ms	1410.0 ms	0
stream	616.1 ms	7.3%	677.0 ms	4410.0 ms	0
lift-stateless	631.2 ms	7.4%	130.0 ms	1380.0 ms	0
tornado-pypy	637.9 ms	7.5%	82.3 ms	801.8 ms	13
start	638.7 ms	7.5%	581.0 ms	4040.0 ms	0
plain	678.2 ms	8.0%	1420.0 ms	14440.0 ms	0
play1-siena	721.6 ms	8.5%	13.8 ms	760.8 ms	0
luminus-raw	733.9 ms	8.7%	254.3 ms	1500.0 ms	0
restexpress-mysql-ra	757.9 ms	8.9%	300.3 ms	1630.0 ms	0
compojure-raw	812.2 ms	9.6%	324.1 ms	2020.0 ms	0
ringojs-conv	812.7 ms	9.6%	109.1 ms	1160.0 ms	0
plain-servlet-linux	813.8 ms	9.6%	1680.0 ms	13380.0 ms	0
treefrog-thread	877.2 ms	10.3%	236.9 ms	2100.0 ms	0
luminus	888.9 ms	10.5%	466.1 ms	3560.0 ms	0
treefrog	889.0 ms	10.5%	214.4 ms	1960.0 ms	0
yesod	899.4 ms	10.6%	26.2 ms	1020.0 ms	0
play-java-jpa	911.2 ms	10.7%	494.3 ms	4000.0 ms	46
play-scala-anorm	913.2 ms	10.8%	609.5 ms	4440.0 ms	0
nancy-libevent2	919.7 ms	10.8%	598.9 ms	2130.0 ms	4,081
activeweb	987.3 ms	11.6%	182.2 ms	1370.0 ms	0
compojure	1010.0 ms	11.9%	556.4 ms	3690.0 ms	0
elli	1050.0 ms	12.4%	72.1 ms	1220.0 ms	0
codeigniter-raw	1070.0 ms	12.6%	147.8 ms	1470.0 ms	0
play-slick	1090.0 ms	12.9%	172.0 ms	1500.0 ms	0
micromvc	1120.0 ms	13.2%	189.3 ms	1660.0 ms	0
phpixie	1140.0 ms	13.4%	288.1 ms	1890.0 ms	0
cowboy	1160.0 ms	13.7%	76.3 ms	1370.0 ms	0
bottle-mysql-raw	1240.0 ms	14.6%	367.5 ms	3610.0 ms	29
lapis	1240.0 ms	14.6%	560.6 ms	3750.0 ms	0
php-kohana-raw	1310.0 ms	15.4%	181.2 ms	1880.0 ms	0
flask	1320.0 ms	15.6%	431.6 ms	3790.0 ms	32
php-phalcon	1330.0 ms	15.7%	202.4 ms	1830.0 ms	0
flask-pypy	1400.0 ms	16.5%	830.5 ms	3750.0 ms	0
express-mongodb	1480.0 ms	17.5%	376.0 ms	1970.0 ms	0
http-kit	1540.0 ms	18.2%	228.9 ms	1820.0 ms	0
hapi	1550.0 ms	18.3%	542.8 ms	2360.0 ms	0
flask-pypy	1690.0 ms	19.9%	807.8 ms	5770.0 ms	0
aspnet-mvc-mono	1760.0 ms	20.8%	248.6 ms	2310.0 ms	0
urweb-postgres	1760.0 ms	20.8%	221.0 ms	1850.0 ms	0
grizzly-jersey	1790.0 ms	21.1%	246.7 ms	1900.0 ms	0
sinatra-jruby	1790.0 ms	21.1%	308.6 ms	2090.0 ms	0
django-postgresql	1920.0 ms	22.6%	1000.0 ms	6350.0 ms	280
tornado	1980.0 ms	23.3%	568.3 ms	3390.0 ms	3
bottle	2000.0 ms	23.6%	1210.0 ms	7450.0 ms	368
spring	2040.0 ms	24.1%	298.0 ms	2220.0 ms	0
django-py3	2060.0 ms	24.3%	1280.0 ms	7030.0 ms	326
flask	2070.0 ms	24.4%	1290.0 ms	7770.0 ms	278
phreeze	2100.0 ms	24.8%	887.5 ms	4410.0 ms	0
symfony2	2180.0 ms	25.7%	2490.0 ms	7250.0 ms	562
rails-jruby	2210.0 ms	26.1%	432.6 ms	2580.0 ms	0
tornado-py3	2210.0 ms	26.1%	329.4 ms	3190.0 ms	4
rails-stripped-jruby	2220.0 ms	26.2%	472.2 ms	2760.0 ms	0
django	2230.0 ms	26.3%	1170.0 ms	6860.0 ms	267
rails-stripped-ruby	2320.0 ms	27.4%	404.3 ms	2840.0 ms	0
play1	2330.0 ms	27.5%	454.3 ms	2650.0 ms	0
bottle-py3	2410.0 ms	28.4%	1250.0 ms	6690.0 ms	341
fuel	2420.0 ms	28.5%	326.2 ms	3170.0 ms	0
symfony2	2430.0 ms	28.7%	2390.0 ms	7680.0 ms	487
rails-ruby	2450.0 ms	28.9%	404.0 ms	2860.0 ms	0
silex-orm	2580.0 ms	30.4%	1680.0 ms	5810.0 ms	344
nancy	2610.0 ms	30.8%	1910.0 ms	9930.0 ms	1,482
flask-nginx-uwsgi	2620.0 ms	30.9%	428.4 ms	2800.0 ms	0
bottle-nginx-uwsgi	2650.0 ms	31.3%	413.6 ms	2870.0 ms	0
flask-py3	2690.0 ms	31.7%	1440.0 ms	6410.0 ms	386
symfony2	2710.0 ms	32.0%	2530.0 ms	7520.0 ms	487
symfony2-raw	2730.0 ms	32.2%	2500.0 ms	7580.0 ms	586
hapi-mysql	2860.0 ms	33.7%	1570.0 ms	4770.0 ms	0
snap	2890.0 ms	34.1%	2690.0 ms	14960.0 ms	0
express-mysql	2950.0 ms	34.8%	1340.0 ms	4890.0 ms	0
unfiltered	4100.0 ms	48.3%	1040.0 ms	4680.0 ms	0
lithium	4110.0 ms	48.5%	339.4 ms	4700.0 ms	0
urweb-mysql	5570.0 ms	65.7%	1390.0 ms	8350.0 ms	0
aspnet-mvc-mono	6090.0 ms	71.8%	1640.0 ms	9820.0 ms	0
cpoll_cppsp-postgres	6460.0 ms	76.2%	3330.0 ms	9880.0 ms	0
yesod	8480.0 ms	100.0%	2830.0 ms	10050.0 ms	0
