Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
bottle-nginx-uwsgi	34.3 ms	0.4%	55.0 ms	323.1 ms	0
rails-ruby	40.3 ms	0.5%	5.5 ms	95.3 ms	0
lithium	43.3 ms	0.5%	158.3 ms	2980.0 ms	0
laravel	48.4 ms	0.6%	54.5 ms	1100.0 ms	47,135
silex-orm	51.9 ms	0.6%	141.9 ms	1150.0 ms	30,924
cake	54.9 ms	0.7%	28.0 ms	261.9 ms	0
uwsgi	59.4 ms	0.7%	253.6 ms	3000.0 ms	0
rails-stripped-jruby	100.8 ms	1.2%	22.7 ms	724.1 ms	0
rails-jruby	143.1 ms	1.7%	40.6 ms	744.1 ms	0
lift-stateless	143.7 ms	1.7%	267.3 ms	832.5 ms	0
symfony2	168.2 ms	2.0%	149.9 ms	563.2 ms	14,069
symfony2	175.4 ms	2.1%	152.8 ms	699.5 ms	14,110
phpixie	205.6 ms	2.4%	702.1 ms	3010.0 ms	0
pyramid-py2	260.2 ms	3.1%	323.4 ms	1510.0 ms	37
pyramid-py3	270.8 ms	3.2%	365.6 ms	1540.0 ms	0
racket-ws	740.0 ms	8.8%	807.4 ms	2040.0 ms	0
phreeze	910.7 ms	10.8%	1400.0 ms	5020.0 ms	0
servicestack-nginx-d	5990.0 ms	70.9%	5200.0 ms	13010.0 ms	0
nancy	8450.0 ms	100.0%	5220.0 ms	14480.0 ms	0
