Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	IA	Errors
slim	16,387	1.5%	Mcr	PHP	FPM	ngx	Lin	Rea	0
codeigniter	13,600	1.3%	Ful	PHP	FPM	ngx	Lin	Rea	0
php-kohana	13,570	1.3%	Ful	PHP	FPM	ngx	Lin	Rea	0
django-py3	12,248	1.2%	Ful	Py	Gun	Non	Lin	Rea	0
django	12,082	1.1%	Ful	Py	Gun	Non	Lin	Rea	0
django-postgresql	11,971	1.1%	Ful	Py	Gun	Non	Lin	Rea	0
lithium	9,338	0.9%	Ful	PHP	FPM	ngx	Lin	Rea	0
fuel	9,264	0.9%	Mcr	PHP	FPM	ngx	Lin	Rea	0
rails-stripped-ruby	7,929	0.7%	Ful	Rby	Rac	Uni	Lin	Str	0
rails-stripped-jruby	7,132	0.7%	Ful	Rby	JRb	Tor	Lin	Str	0
rails-ruby	6,091	0.6%	Ful	Rby	Rac	Uni	Lin	Rea	0
rails-jruby	5,236	0.5%	Ful	Rby	JRb	Tor	Lin	Rea	0
silex-orm	5,115	0.5%	Mcr	PHP	FPM	ngx	Lin	Rea	30,924
cake	5,057	0.5%	Ful	PHP	FPM	ngx	Lin	Rea	0
servicestack-nginx-d	4,639	0.4%	Plt	C#	Mon	ngx	Lin	Rea	0
nancy	3,698	0.3%	Mcr	C#	Mon	ngx	Lin	Rea	0
laravel	3,270	0.3%	Ful	PHP	FPM	ngx	Lin	Rea	47,135
racket-ws	1,305	0.1%	Ful	Rac	Rac	Non	Lin	Rea	0
symfony2	1,058	0.1%	Ful	PHP	FPM	ngx	Lin	Rea	14,110
symfony2	1,053	0.1%	Ful	PHP	FPM	ngx	Lin	Str	14,069
phreeze	355	0.0%	Mcr	PHP	FPM	ngx	Lin	Rea	0
finagle	0	0.0%	Mcr	Sca	Nty	Non	Lin	Rea	363,121
onion	0	0.0%	Plt	C	Oni	Non	Lin	Rea	0
