Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
php-phalcon	1,045	8.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
yesod	994	8.0%	Mcr	Hkl	Wai	Wrp	Lin	My	Lin	Raw	Rea	0
rails-stripped-jruby	883	7.1%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Str	0
plain-servlet-linux	847	6.8%	Ful	Sca	Pla	Non	Lin	My	Lin	Ful	Rea	0
bottle	843	6.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
phpixie	832	6.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
plain	831	6.7%	Ful	Sca	Pla	Non	Lin	My	Lin	Mcr	Rea	0
bottle-nginx-uwsgi	818	6.6%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
grizzly-jersey	817	6.6%	Mcr	Jav	Svt	Grz	Lin	My	Lin	Ful	Rea	0
django-postgresql	812	6.6%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	0
flask	803	6.5%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-nginx-uwsgi	785	6.3%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
django	783	6.3%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-pypy	738	6.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
bottle-py3	732	5.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
rails-jruby	730	5.9%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
django-py3	709	5.7%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-py3	698	5.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
rails-stripped-ruby	681	5.5%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Str	0
restexpress-mysql-ra	623	5.0%	Mcr	Jav	Nty	Non	Lin	My	Lin	Raw	Rea	0
urweb-mysql	584	4.7%	Ful	Ur	Ur/	Non	Lin	My	Lin	Mcr	Rea	0
play1	569	4.6%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
rails-ruby	562	4.5%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
lift-stateless	508	4.1%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
codeigniter-raw	501	4.0%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
phreeze	441	3.6%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Mcr	Rea	0
php-kohana-raw	361	2.9%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
fuel	286	2.3%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
lithium	262	2.1%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
aspnet-mvc-mono	233	1.9%	Ful	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
aspnet-mvc-mono	188	1.5%	Ful	C#	Mon	ngx	Lin	My	Lin	Ful	Rea	0
silex-orm	106	0.9%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	657
sinatra-ruby	85	0.7%	Mcr	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	157
symfony2	59	0.5%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Str	883
symfony2	59	0.5%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Str	829
symfony2	59	0.5%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	877
symfony2-raw	58	0.5%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	811
nancy	0	0.0%	Mcr	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	3,025
nancy-libevent2	0	0.0%	Mcr	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	9,353
nodejs-mongodb	0	0.0%	Plt	JS	njs	Non	Lin	Mo	Lin	Ful	Rea	0
nodejs-mongodb-raw	0	0.0%	Plt	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
nodejs-mysql-raw	0	0.0%	Plt	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
nodejs-mysql	0	0.0%	Plt	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
start	0	0.0%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	96,219
