Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	IA	Errors
rails-stripped-jruby	1,497	2.6%	Ful	Rby	JRb	Tor	Lin	Str	0
django	1,444	2.5%	Ful	Py	Gun	Non	Lin	Rea	0
django-postgresql	1,404	2.4%	Ful	Py	Gun	Non	Lin	Rea	0
django-py3	1,293	2.2%	Ful	Py	Gun	Non	Lin	Rea	0
rails-jruby	1,105	1.9%	Ful	Rby	JRb	Tor	Lin	Rea	0
rails-stripped-ruby	1,028	1.8%	Ful	Rby	Rac	Uni	Lin	Str	0
play1	796	1.4%	Ful	Jav	Nty	Non	Lin	Rea	0
rails-ruby	778	1.3%	Ful	Rby	Rac	Uni	Lin	Rea	0
slim	734	1.3%	Mcr	PHP	FPM	ngx	Lin	Rea	0
racket-ws	674	1.2%	Ful	Rac	Rac	Non	Lin	Rea	0
php-kohana	556	1.0%	Ful	PHP	FPM	ngx	Lin	Rea	0
codeigniter	548	0.9%	Ful	PHP	FPM	ngx	Lin	Rea	0
fuel	393	0.7%	Mcr	PHP	FPM	ngx	Lin	Rea	0
lithium	386	0.7%	Ful	PHP	FPM	ngx	Lin	Rea	0
phreeze	337	0.6%	Mcr	PHP	FPM	ngx	Lin	Rea	0
nancy	275	0.5%	Mcr	C#	Mon	ngx	Lin	Rea	0
cake	253	0.4%	Ful	PHP	FPM	ngx	Lin	Rea	0
laravel	235	0.4%	Ful	PHP	FPM	ngx	Lin	Rea	1,696
silex-orm	229	0.4%	Mcr	PHP	FPM	ngx	Lin	Rea	1,864
symfony2	68	0.1%	Ful	PHP	FPM	ngx	Lin	Str	889
symfony2	65	0.1%	Ful	PHP	FPM	ngx	Lin	Rea	880
finagle	0	0.0%	Mcr	Sca	Nty	Non	Lin	Rea	48,970
onion	0	0.0%	Plt	C	Oni	Non	Lin	Rea	0
