Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
symfony2-raw	368	0.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	5,492
symfony2	367	0.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Str	5,469
symfony2	305	0.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Str	4,537
symfony2	303	0.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	4,514
phreeze	150	0.1%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Mcr	Rea	0
sinatra-ruby	123	0.1%	Mcr	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	264
servicestack	28	0.0%	Plt	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	154
servicestack	10	0.0%	Plt	C#	Mon	ngx	Lin	Mo	Lin	Raw	Rea	94
mojolicious-raw	0	0.0%	Ful	Prl	Plk	Sta	Lin	My	Lin	Raw	Rea	65,063
nancy-libevent2	0	0.0%	Mcr	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	41,003
nancy	0	0.0%	Mcr	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	6
start	0	0.0%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	399,014
web-simple-raw	0	0.0%	Mcr	Prl	Plk	Sta	Lin	My	Lin	Raw	Rea	162,412
