Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
hapi	8,092	7.6%	Mcr	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
play1-siena	7,908	7.4%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
tornado-py3	7,652	7.2%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	14
flask-pypy	7,632	7.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
aspnet-postgresql-ra	7,329	6.9%	Ful	C#	Net	IIS	Win	Pg	Lin	Raw	Rea	0
bottle-pypy	6,375	6.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
yesod	6,359	6.0%	Mcr	Hkl	Wai	Wrp	Lin	Mo	Lin	Raw	Rea	0
aspnet-mysql-entityf	6,013	5.6%	Ful	C#	Net	IIS	Win	My	Lin	Ful	Rea	0
dancer-raw	5,923	5.6%	Ful	Prl	Plk	Sta	Lin	My	Lin	Raw	Rea	0
mojolicious-raw	5,001	4.7%	Ful	Prl	Plk	Sta	Lin	My	Lin	Raw	Rea	0
sinatra-jruby	4,974	4.7%	Mcr	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
bottle-nginx-uWSGI	4,885	4.6%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
bottle	4,775	4.5%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
aspnet-postgresql-en	4,653	4.4%	Ful	C#	Net	IIS	Win	Pg	Lin	Ful	Rea	0
sinatra-ruby	4,584	4.3%	Mcr	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
pyramid-py2	4,503	4.2%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	7
django-postgresql	4,336	4.1%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	0
django	4,142	3.9%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
rails-stripped-jruby	4,114	3.9%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Str	0
bottle-py3	4,061	3.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-nginx-uWSGI	3,914	3.7%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
codeigniter-raw	3,905	3.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
flask	3,845	3.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
pyramid-py3	3,839	3.6%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	6
django-py3	3,803	3.6%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-pypy	3,690	3.5%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
rails-stripped-ruby	3,498	3.3%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Str	0
rails-jruby	3,480	3.3%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
flask-py3	3,463	3.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
lift-stateless	3,372	3.2%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	4
treefrog	3,278	3.1%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
