Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
start	34.6 ms	1.2%	59.2 ms	348.1 ms	0
servlet-raw	38.5 ms	1.3%	40.3 ms	654.6 ms	0
gemini	44.7 ms	1.5%	26.3 ms	405.4 ms	0
undertow	45.1 ms	1.5%	95.0 ms	982.5 ms	0
go	50.5 ms	1.7%	21.6 ms	158.2 ms	0
undertow	51.0 ms	1.7%	135.3 ms	926.8 ms	0
rails-ruby	51.3 ms	1.7%	243.6 ms	1730.0 ms	0
revel	55.5 ms	1.8%	29.8 ms	275.8 ms	0
revel-qbs	65.8 ms	2.2%	29.6 ms	204.4 ms	0
undertow	68.5 ms	2.3%	227.5 ms	2460.0 ms	0
treefrog	76.6 ms	2.5%	27.7 ms	235.6 ms	0
compojure	77.4 ms	2.6%	57.6 ms	755.4 ms	0
php-raw	92.1 ms	3.1%	76.7 ms	3060.0 ms	0
luminus	93.6 ms	3.1%	73.5 ms	632.3 ms	0
falcore	94.4 ms	3.1%	42.9 ms	185.1 ms	0
play-scala-anorm	99.1 ms	3.3%	43.6 ms	751.0 ms	0
express-mysql	112.9 ms	3.8%	61.0 ms	202.6 ms	0
play-slick	127.7 ms	4.2%	55.5 ms	364.2 ms	0
hapi-mysql	140.4 ms	4.7%	47.3 ms	275.4 ms	0
dart	140.4 ms	4.7%	364.1 ms	3960.0 ms	0
flask-pypy	142.4 ms	4.7%	88.4 ms	1320.0 ms	0
bottle-mysql-raw	144.7 ms	4.8%	37.6 ms	436.2 ms	0
grizzly-jersey	148.8 ms	4.9%	19.4 ms	263.6 ms	0
start	154.5 ms	5.1%	273.4 ms	2730.0 ms	0
stream	161.7 ms	5.4%	354.2 ms	3580.0 ms	0
yaf-raw	162.2 ms	5.4%	68.6 ms	662.1 ms	0
stream	169.8 ms	5.6%	330.3 ms	2520.0 ms	0
php-phalcon-micro	175.2 ms	5.8%	88.7 ms	767.7 ms	0
grails	182.9 ms	6.1%	49.9 ms	608.7 ms	0
flask-pypy	185.4 ms	6.2%	133.7 ms	1600.0 ms	0
flask	199.2 ms	6.6%	55.9 ms	559.1 ms	0
ninja-standalone	220.2 ms	7.3%	84.0 ms	649.0 ms	0
ninja	220.2 ms	7.3%	84.0 ms	649.0 ms	0
ringojs	229.8 ms	7.6%	172.4 ms	1030.0 ms	0
ringojs-conv	248.8 ms	8.3%	202.4 ms	963.2 ms	0
senthot	258.3 ms	8.6%	227.4 ms	1290.0 ms	0
flask	332.1 ms	11.0%	83.8 ms	826.0 ms	0
bottle	345.6 ms	11.5%	79.1 ms	923.8 ms	0
bottle-py3	356.8 ms	11.9%	67.5 ms	818.2 ms	0
flask-py3	366.6 ms	12.2%	99.0 ms	925.4 ms	0
rails-jruby	399.8 ms	13.3%	66.2 ms	486.0 ms	0
django-postgresql	540.1 ms	17.9%	118.0 ms	1270.0 ms	0
codeigniter-raw	542.4 ms	18.0%	221.2 ms	5580.0 ms	0
servicestack	561.1 ms	18.6%	735.7 ms	5330.0 ms	0
django-py3	569.3 ms	18.9%	129.3 ms	1310.0 ms	0
django	606.8 ms	20.2%	131.8 ms	1300.0 ms	0
phpixie	622.7 ms	20.7%	489.5 ms	3030.0 ms	797
aspnet-mvc-mono	642.4 ms	21.3%	752.0 ms	3080.0 ms	0
spring	690.3 ms	22.9%	1040.0 ms	3180.0 ms	0
aspnet-mvc-mono	750.5 ms	24.9%	1210.0 ms	5730.0 ms	0
servicestack	911.0 ms	30.3%	472.8 ms	1960.0 ms	0
aspnet-mvc-mono	924.0 ms	30.7%	942.3 ms	4180.0 ms	0
php-phalcon	1250.0 ms	41.5%	903.9 ms	2680.0 ms	2,444
php-kohana-raw	1450.0 ms	48.2%	1600.0 ms	15010.0 ms	0
symfony2	1670.0 ms	55.5%	1790.0 ms	6190.0 ms	952
symfony2-raw	1840.0 ms	61.1%	1760.0 ms	5840.0 ms	922
laravel-raw	1930.0 ms	64.1%	2010.0 ms	5740.0 ms	1,678
fuel	2030.0 ms	67.4%	524.3 ms	2420.0 ms	0
symfony2-php-templat	2480.0 ms	82.4%	2750.0 ms	10650.0 ms	657
symfony2	2760.0 ms	91.7%	2840.0 ms	7140.0 ms	643
symfony2	2840.0 ms	94.4%	2900.0 ms	12000.0 ms	769
symfony2	3010.0 ms	100.0%	3180.0 ms	12560.0 ms	804
