Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
servicestack	1220.0 ms	46.0%	634.4 ms	2060.0 ms	0
silex-orm	1500.0 ms	56.6%	1580.0 ms	6260.0 ms	1,196
phpixie	1540.0 ms	58.1%	1300.0 ms	3040.0 ms	0
nodejs-mysql-raw	1550.0 ms	58.5%	736.5 ms	4190.0 ms	0
start	1740.0 ms	65.7%	1220.0 ms	2770.0 ms	0
symfony2	1770.0 ms	66.8%	2100.0 ms	7760.0 ms	889
symfony2	1850.0 ms	69.8%	1920.0 ms	8570.0 ms	929
symfony2-raw	2070.0 ms	78.1%	2370.0 ms	8430.0 ms	898
symfony2	2340.0 ms	88.3%	2360.0 ms	9270.0 ms	937
laravel-raw	2580.0 ms	97.4%	1670.0 ms	4630.0 ms	1,990
slim	2650.0 ms	100.0%	1240.0 ms	12590.0 ms	0
