Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
cpoll_cppsp-raw	7,094	100.0%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
gemini	6,860	96.7%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
undertow	6,742	95.0%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	168
stream	6,264	88.3%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	171
hhvm	6,218	87.7%	Plt	PHP	hhv	HPH	Lin	My	Lin	Raw	Rea	0
dropwizard	6,169	87.0%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
undertow	6,046	85.2%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
servlet-raw	6,040	85.1%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
php-raw	6,009	84.7%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
openresty	6,007	84.7%	Plt	Lua	OpR	ngx	Lin	My	Lin	Raw	Rea	0
yaf-raw	5,867	82.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
go	5,817	82.0%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
falcore	5,797	81.7%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel	5,791	81.6%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
php-phalcon-micro	5,429	76.5%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
revel-qbs	5,228	73.7%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
cpoll_cppsp-postgres	5,019	70.7%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	0
ringojs	4,853	68.4%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
play-java-ebean	4,759	67.1%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
tapestry	4,756	67.0%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
undertow	4,470	63.0%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
wicket	4,451	62.7%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
servlet-postgres-raw	4,375	61.7%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
scalatra-raw	4,125	58.1%	Mcr	Sca	Svt	Res	Lin	My	Lin	Raw	Rea	0
aspnet-stripped-raw	3,956	55.8%	Ful	C#	Net	IIS	Win	My	Lin	Raw	Str	0
grails	3,920	55.3%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
nodejs-mongodb-raw	3,912	55.1%	Plt	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
restexpress-mongodb	3,491	49.2%	Mcr	Jav	Nty	Non	Lin	Mo	Lin	Raw	Rea	0
http-kit	3,384	47.7%	Plt	Clj	htk	Non	Lin	My	Lin	Raw	Rea	0
kelp-raw	3,384	47.7%	Ful	Prl	Plk	Sta	Lin	My	Lin	Raw	Rea	1,078,730
aspnet-mysql-raw	3,231	45.5%	Ful	C#	Net	IIS	Win	My	Lin	Raw	Rea	0
dart	3,189	45.0%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
start	3,129	44.1%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
stream	3,113	43.9%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
