Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
rails-ruby	1.6 ms	0.1%	11.6 ms	595.7 ms	0
rails-stripped-ruby	1.6 ms	0.1%	15.5 ms	1150.0 ms	0
sinatra-ruby	1.6 ms	0.1%	27.3 ms	1540.0 ms	0
bottle-nginx-uWSGI	1.9 ms	0.1%	9.2 ms	185.7 ms	0
flask-nginx-uWSGI	2.0 ms	0.1%	9.8 ms	114.9 ms	0
cpoll_cppsp-raw	2.4 ms	0.2%	0.9 ms	14.0 ms	0
openresty	2.5 ms	0.2%	1.6 ms	39.8 ms	0
gemini	2.7 ms	0.2%	2.4 ms	75.5 ms	0
undertow	2.8 ms	0.2%	10.7 ms	645.5 ms	0
go	2.8 ms	0.2%	1.7 ms	18.5 ms	0
undertow	3.0 ms	0.2%	6.8 ms	628.5 ms	125
mojolicious-raw	3.1 ms	0.2%	8.2 ms	68.0 ms	0
falcore	3.1 ms	0.2%	2.0 ms	22.0 ms	0
cpoll_cppsp-postgres	3.2 ms	0.2%	2.3 ms	26.9 ms	0
kelp-raw	3.4 ms	0.2%	6.1 ms	47.8 ms	0
dancer-raw	3.4 ms	0.2%	7.9 ms	63.0 ms	0
revel	3.4 ms	0.2%	2.9 ms	35.7 ms	0
ur/web	3.6 ms	0.2%	1.9 ms	7.1 ms	0
revel-qbs	3.8 ms	0.2%	3.3 ms	33.4 ms	0
web-simple-raw	3.9 ms	0.2%	5.7 ms	132.2 ms	0
start	4.4 ms	0.3%	3.6 ms	29.9 ms	0
http-kit	4.5 ms	0.3%	1.9 ms	212.1 ms	0
scalatra-raw	5.3 ms	0.3%	4.6 ms	132.5 ms	0
restexpress-mongodb	6.8 ms	0.4%	39.0 ms	646.9 ms	0
vertx	6.8 ms	0.4%	5.3 ms	80.2 ms	0
wicket	6.9 ms	0.4%	15.0 ms	195.3 ms	0
unfiltered	7.0 ms	0.4%	0.7 ms	18.2 ms	0
servlet-raw	7.2 ms	0.5%	29.2 ms	206.1 ms	0
play-java-ebean	7.8 ms	0.5%	9.9 ms	636.5 ms	0
tapestry	8.3 ms	0.5%	8.6 ms	278.8 ms	0
ringojs	8.5 ms	0.5%	16.8 ms	624.6 ms	0
hhvm	8.7 ms	0.5%	1.9 ms	21.8 ms	0
php-raw	8.8 ms	0.6%	23.8 ms	631.8 ms	0
nodejs-mongodb-raw	9.0 ms	0.6%	5.8 ms	56.1 ms	0
play-slick	9.1 ms	0.6%	20.4 ms	632.0 ms	0
nodejs-mysql	9.4 ms	0.6%	3.3 ms	26.1 ms	0
ninja-standalone	9.4 ms	0.6%	13.1 ms	91.8 ms	0
ninja	9.4 ms	0.6%	13.1 ms	91.8 ms	0
compojure-raw	9.9 ms	0.6%	13.4 ms	137.7 ms	0
plain	10.4 ms	0.7%	10.1 ms	854.3 ms	0
compojure	10.7 ms	0.7%	29.4 ms	602.7 ms	0
luminus	10.9 ms	0.7%	29.7 ms	588.1 ms	0
nodejs-mysql-raw	10.9 ms	0.7%	6.0 ms	67.5 ms	0
yesod	11.0 ms	0.7%	9.2 ms	93.7 ms	0
express-mysql	11.1 ms	0.7%	1.9 ms	30.1 ms	0
plain-servlet-linux	11.2 ms	0.7%	16.8 ms	1100.0 ms	0
grizzly-jersey	11.3 ms	0.7%	2.8 ms	60.4 ms	0
play-scala-anorm	11.4 ms	0.7%	1.6 ms	42.0 ms	0
servlet-postgres-raw	11.5 ms	0.7%	30.5 ms	151.5 ms	0
plack	11.6 ms	0.7%	1.8 ms	29.6 ms	0
play-java-jpa	11.6 ms	0.7%	27.3 ms	635.8 ms	0
aspnet-stripped-raw	12.1 ms	0.8%	4.0 ms	72.3 ms	0
luminus-raw	12.3 ms	0.8%	21.9 ms	183.3 ms	0
play-scala-anorm	12.5 ms	0.8%	35.2 ms	641.4 ms	0
tornado-pypy	12.5 ms	0.8%	13.1 ms	185.6 ms	42
dart	12.8 ms	0.8%	42.2 ms	1050.0 ms	0
