Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
start	81.6 ms	3.3%	113.4 ms	1060.0 ms	0
bottle-mysql-raw	97.0 ms	4.0%	28.6 ms	272.2 ms	0
spring	105.1 ms	4.3%	28.3 ms	311.0 ms	0
play-java-jpa	106.8 ms	4.4%	30.5 ms	744.4 ms	0
play-slick	109.1 ms	4.5%	46.9 ms	806.4 ms	0
unfiltered	110.2 ms	4.5%	1.4 ms	119.2 ms	0
flask	113.4 ms	4.6%	35.4 ms	334.9 ms	0
yesod	114.1 ms	4.7%	65.0 ms	561.6 ms	0
lift-stateless	114.1 ms	4.7%	8.6 ms	154.8 ms	0
grizzly-jersey	117.3 ms	4.8%	5.3 ms	159.4 ms	0
nodejs-mysql	118.4 ms	4.9%	34.8 ms	246.0 ms	0
cpoll_cppsp-postgres	121.5 ms	5.0%	107.5 ms	499.7 ms	7
hapi-mysql	122.8 ms	5.0%	46.8 ms	262.5 ms	0
plain-servlet-linux	123.9 ms	5.1%	445.9 ms	11720.0 ms	0
express-mysql	126.3 ms	5.2%	54.2 ms	318.4 ms	0
nancy	128.0 ms	5.2%	112.3 ms	1310.0 ms	31,335
codeigniter-raw	130.6 ms	5.4%	65.8 ms	413.2 ms	0
luminus	132.7 ms	5.4%	87.4 ms	588.2 ms	0
ringojs-conv	135.9 ms	5.6%	64.5 ms	772.9 ms	0
plain	137.3 ms	5.6%	592.9 ms	14690.0 ms	0
compojure	140.6 ms	5.8%	110.5 ms	1010.0 ms	0
nancy-libevent2	142.5 ms	5.8%	88.1 ms	915.7 ms	26,836
http-listener	145.2 ms	5.9%	19.6 ms	332.1 ms	0
play-scala-anorm	146.8 ms	6.0%	37.7 ms	792.6 ms	0
play-scala-anorm	150.4 ms	6.2%	9.6 ms	226.9 ms	0
luminus-raw	158.5 ms	6.5%	53.4 ms	421.6 ms	0
compojure-raw	159.7 ms	6.5%	53.3 ms	410.6 ms	0
aspnet-stripped-raw	162.7 ms	6.7%	231.5 ms	4190.0 ms	0
silex	165.0 ms	6.8%	172.6 ms	1020.0 ms	10,988
vertx	174.9 ms	7.2%	14.1 ms	220.7 ms	0
aspnet-postgresql-ra	183.8 ms	7.5%	516.0 ms	9140.0 ms	0
nodejs-mysql-raw	186.3 ms	7.6%	68.2 ms	397.6 ms	0
snap	186.4 ms	7.6%	62.7 ms	486.7 ms	0
play1-siena	224.5 ms	9.2%	6.1 ms	237.9 ms	0
http-listener	225.5 ms	9.2%	477.6 ms	11290.0 ms	0
play1	229.3 ms	9.4%	30.1 ms	486.4 ms	0
restexpress-mysql-ra	236.1 ms	9.7%	333.1 ms	2540.0 ms	11,488
flask-pypy	240.8 ms	9.9%	198.0 ms	1330.0 ms	0
nodejs-mongodb	244.1 ms	10.0%	191.6 ms	663.9 ms	0
hapi	251.4 ms	10.3%	103.9 ms	522.3 ms	0
express-mongodb	256.5 ms	10.5%	145.8 ms	595.5 ms	0
php-phalcon	275.8 ms	11.3%	161.0 ms	1020.0 ms	13,756
php	284.8 ms	11.7%	165.7 ms	1130.0 ms	13,602
micromvc	287.3 ms	11.8%	158.6 ms	815.7 ms	13,048
ninja-standalone	288.0 ms	11.8%	450.3 ms	1730.0 ms	0
ninja	288.0 ms	11.8%	450.3 ms	1730.0 ms	0
plain-windows	301.4 ms	12.4%	1500.0 ms	14990.0 ms	0
phpixie	303.5 ms	12.4%	175.6 ms	926.5 ms	12,350
slim	309.9 ms	12.7%	165.9 ms	1240.0 ms	12,523
laravel-raw	327.8 ms	13.4%	228.7 ms	1630.0 ms	11,247
tornado	339.5 ms	13.9%	235.4 ms	1240.0 ms	12,372
php-kohana-raw	352.6 ms	14.5%	212.9 ms	1090.0 ms	5,218
fuel	367.7 ms	15.1%	194.1 ms	1190.0 ms	9,116
cake	408.7 ms	16.7%	188.9 ms	1460.0 ms	315
tornado-py3	412.0 ms	16.9%	88.4 ms	503.1 ms	299
silex-orm	416.3 ms	17.1%	433.2 ms	1490.0 ms	4,575
sinatra-jruby	417.3 ms	17.1%	67.6 ms	673.6 ms	0
django-postgresql	450.1 ms	18.4%	130.6 ms	1100.0 ms	0
django	493.7 ms	20.2%	167.1 ms	1450.0 ms	0
symfony2	506.5 ms	20.8%	527.7 ms	2320.0 ms	5,225
rails-stripped-jruby	507.7 ms	20.8%	76.3 ms	930.5 ms	0
aspnet-mysql-entityf	518.9 ms	21.3%	137.3 ms	1270.0 ms	0
rails-jruby	520.1 ms	21.3%	64.5 ms	752.7 ms	0
django-py3	523.7 ms	21.5%	161.0 ms	1390.0 ms	0
aspnet-postgresql-en	525.2 ms	21.5%	313.7 ms	3670.0 ms	0
symfony2-raw	534.1 ms	21.9%	528.1 ms	2190.0 ms	5,212
flask-pypy	552.7 ms	22.7%	449.3 ms	2380.0 ms	0
bottle	624.0 ms	25.6%	244.8 ms	2080.0 ms	1
symfony2	624.9 ms	25.6%	626.1 ms	2240.0 ms	3,933
flask	638.7 ms	26.2%	243.2 ms	1940.0 ms	0
symfony2	640.0 ms	26.2%	648.8 ms	2680.0 ms	4,148
lithium	675.3 ms	27.7%	113.3 ms	1120.0 ms	0
aspnet-mvc-mono	698.6 ms	28.6%	1360.0 ms	6070.0 ms	6,677
bottle-py3	699.2 ms	28.7%	235.2 ms	2220.0 ms	1
flask-py3	741.0 ms	30.4%	233.6 ms	2060.0 ms	2
yesod	800.6 ms	32.8%	2.1 ms	820.5 ms	0
bottle-pypy	1040.0 ms	42.6%	1090.0 ms	3830.0 ms	0
servicestack	1080.0 ms	44.3%	667.5 ms	1820.0 ms	1,066
aspnet-mvc-mono	1470.0 ms	60.2%	1480.0 ms	6590.0 ms	955
treefrog	1790.0 ms	73.4%	190.9 ms	2270.0 ms	0
senthot	2440.0 ms	100.0%	1150.0 ms	3000.0 ms	0
