Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
nancy	0.1 ms	0.0%	0.2 ms	0.7 ms	201
servicestack	0.7 ms	0.0%	2.0 ms	6.5 ms	37
sinatra-ruby	1.6 ms	0.1%	63.9 ms	6650.0 ms	2,576,167
rails-ruby	1.8 ms	0.1%	60.0 ms	5400.0 ms	2,513,262
bottle-nginx-uWSGI	1.9 ms	0.1%	28.4 ms	914.5 ms	2,059,033
flask-nginx-uWSGI	1.9 ms	0.1%	30.0 ms	1150.0 ms	2,093,772
kelp-raw	3.5 ms	0.1%	15.7 ms	1560.0 ms	1,078,730
web-simple-raw	3.8 ms	0.2%	5.7 ms	50.2 ms	1,054,644
dancer-raw	4.3 ms	0.2%	40.4 ms	1450.0 ms	1,162,703
start	4.4 ms	0.2%	3.6 ms	28.7 ms	992,588
mojolicious-raw	6.2 ms	0.3%	69.1 ms	1690.0 ms	1,101,701
rails-stripped-ruby	11.2 ms	0.5%	247.3 ms	6130.0 ms	2,545,604
ur/web	35.6 ms	1.5%	3.2 ms	39.1 ms	43
cpoll_cppsp-raw	35.8 ms	1.5%	26.2 ms	340.6 ms	0
gemini	37.2 ms	1.5%	20.8 ms	291.8 ms	0
undertow	37.4 ms	1.5%	9.3 ms	707.0 ms	168
hhvm	41.0 ms	1.7%	4.1 ms	118.8 ms	0
dropwizard	41.3 ms	1.7%	32.1 ms	702.0 ms	0
stream	41.5 ms	1.7%	118.2 ms	1270.0 ms	171
undertow	41.6 ms	1.7%	22.1 ms	721.5 ms	0
php-raw	41.8 ms	1.7%	27.9 ms	328.1 ms	0
servlet-raw	41.8 ms	1.7%	23.1 ms	258.3 ms	0
openresty	42.6 ms	1.7%	25.2 ms	325.6 ms	0
go	43.9 ms	1.8%	4.8 ms	62.4 ms	0
falcore	43.9 ms	1.8%	4.9 ms	64.7 ms	0
yaf-raw	44.1 ms	1.8%	43.7 ms	607.5 ms	0
php-phalcon-micro	46.7 ms	1.9%	105.8 ms	3450.0 ms	0
revel	48.1 ms	2.0%	35.7 ms	310.2 ms	0
revel-qbs	48.7 ms	2.0%	8.5 ms	85.8 ms	0
cpoll_cppsp-postgres	51.3 ms	2.1%	19.1 ms	125.9 ms	0
ringojs	52.1 ms	2.1%	16.3 ms	275.6 ms	0
tapestry	53.3 ms	2.2%	15.3 ms	198.3 ms	0
play-java-ebean	54.7 ms	2.2%	37.7 ms	764.1 ms	0
undertow	56.7 ms	2.3%	22.7 ms	698.3 ms	0
wicket	56.9 ms	2.3%	14.9 ms	203.7 ms	0
servlet-postgres-raw	58.2 ms	2.4%	24.7 ms	161.7 ms	0
tornado-pypy	61.5 ms	2.5%	41.6 ms	561.2 ms	39
scalatra-raw	62.5 ms	2.6%	17.2 ms	269.1 ms	0
nodejs-mongodb-raw	63.9 ms	2.6%	41.3 ms	239.3 ms	0
aspnet-stripped-raw	64.0 ms	2.6%	4.8 ms	113.4 ms	0
grails	65.6 ms	2.7%	24.9 ms	224.7 ms	0
restexpress-mongodb	72.5 ms	3.0%	29.1 ms	700.2 ms	0
http-kit	74.0 ms	3.0%	9.6 ms	281.5 ms	0
aspnet-mysql-raw	78.3 ms	3.2%	6.0 ms	172.3 ms	0
stream	81.3 ms	3.3%	52.6 ms	301.7 ms	0
dart	81.5 ms	3.3%	107.4 ms	446.1 ms	0
