Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
symfony2	2350.0 ms	55.2%	2580.0 ms	8110.0 ms	571
flask-py3	2420.0 ms	56.8%	1300.0 ms	8110.0 ms	260
silex-orm	2430.0 ms	57.0%	2350.0 ms	8330.0 ms	683
symfony2	2430.0 ms	57.0%	2880.0 ms	9690.0 ms	724
fuel	2530.0 ms	59.4%	362.1 ms	3290.0 ms	0
cake	2580.0 ms	60.6%	511.0 ms	3970.0 ms	0
symfony2	2630.0 ms	61.7%	2600.0 ms	8010.0 ms	572
symfony2-raw	2770.0 ms	65.0%	2870.0 ms	10300.0 ms	790
treefrog	3180.0 ms	74.6%	450.4 ms	4410.0 ms	0
lithium	4010.0 ms	94.1%	386.7 ms	4720.0 ms	0
aspnet-mvc-mono	4260.0 ms	100.0%	1780.0 ms	12530.0 ms	0
