Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
undertow	8,648	100.0%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	0
undertow	8,576	99.2%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
servlet-raw	7,566	87.5%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
undertow	7,371	85.2%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
gemini	6,134	70.9%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
go	5,366	62.0%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel	4,964	57.4%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel-qbs	4,186	48.4%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
compojure	3,510	40.6%	Mcr	Clj	Svt	Res	Lin	My	Lin	Mcr	Rea	0
php-raw	3,300	38.2%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
falcore	3,084	35.7%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
luminus	2,898	33.5%	Mcr	Clj	Svt	Res	Lin	My	Lin	Ful	Rea	0
play-scala-anorm	2,511	29.0%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
express-mysql	2,400	27.8%	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
dart	1,993	23.0%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
play-slick	1,949	22.5%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
yaf-raw	1,917	22.2%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
hapi-mysql	1,872	21.6%	Mcr	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
grizzly-jersey	1,843	21.3%	Mcr	Jav	Svt	Grz	Lin	My	Lin	Ful	Rea	0
flask-pypy	1,814	21.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
bottle-mysql-raw	1,781	20.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
start	1,779	20.6%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
php-phalcon-micro	1,681	19.4%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
stream	1,624	18.8%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
treefrog	1,540	17.8%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
grails	1,508	17.4%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
flask-pypy	1,459	16.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
stream	1,458	16.9%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	0
flask	1,304	15.1%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
spring	1,207	14.0%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	0
ninja	1,181	13.7%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
ninja-standalone	1,181	13.7%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
ringojs	1,060	12.3%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
senthot	1,043	12.1%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
ringojs-conv	1,006	11.6%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	0
bottle	784	9.1%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask	758	8.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
bottle-py3	729	8.4%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-py3	690	8.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
rails-jruby	601	6.9%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
codeigniter-raw	536	6.2%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
servicestack	525	6.1%	Plt	C#	Mon	ngx	Lin	Mo	Lin	Raw	Rea	0
django-postgresql	479	5.5%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	0
phpixie	464	5.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	797
rails-ruby	453	5.2%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
django-py3	439	5.1%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
django	436	5.0%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
aspnet-mvc-mono	410	4.7%	Ful	C#	Mon	ngx	Lin	Mo	Lin	Raw	Rea	0
aspnet-mvc-mono	349	4.0%	Ful	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
php-kohana-raw	347	4.0%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
php-phalcon	322	3.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	2,444
aspnet-mvc-mono	284	3.3%	Ful	C#	Mon	ngx	Lin	My	Lin	Ful	Rea	0
fuel	192	2.2%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
servicestack	119	1.4%	Plt	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
laravel-raw	113	1.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	1,678
symfony2	64	0.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Str	952
symfony2-raw	63	0.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	922
symfony2	54	0.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	804
