Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	IA	Errors
hapi	17,109	8.0%	Mcr	JS	njs	Non	Lin	Rea	0
web-simple	16,790	7.8%	Mcr	Prl	Plk	Sta	Lin	Rea	0
micromvc	15,337	7.1%	Mcr	PHP	FPM	ngx	Lin	Rea	0
play1	14,605	6.8%	Ful	Jav	Nty	Non	Lin	Rea	0
pyramid-py2	14,200	6.6%	Ful	Py	Wsg	Gun	Lin	Rea	0
kelp	12,851	6.0%	Ful	Prl	Plk	Sta	Lin	Rea	0
phpixie	12,377	5.8%	Ful	PHP	FPM	ngx	Lin	Rea	0
pyramid-py3	11,605	5.4%	Ful	Py	Wsg	Gun	Lin	Rea	0
django-postgresql	9,178	4.3%	Ful	Py	Gun	Non	Lin	Rea	0
django	9,154	4.3%	Ful	Py	Gun	Non	Lin	Rea	0
django-py3	8,233	3.8%	Ful	Py	Gun	Non	Lin	Rea	0
ur/web	7,839	3.6%	Ful	Ur	Ur/	Non	Lin	Rea	0
rails-stripped-jruby	6,765	3.1%	Ful	Rby	JRb	Tor	Lin	Str	0
dancer	6,357	3.0%	Ful	Prl	Plk	Sta	Lin	Rea	0
rails-stripped-ruby	6,149	2.9%	Ful	Rby	Rac	Uni	Lin	Str	0
mojolicious	5,428	2.5%	Ful	Prl	Plk	Sta	Lin	Rea	0
rails-jruby	5,301	2.5%	Ful	Rby	JRb	Tor	Lin	Rea	0
slim	4,963	2.3%	Mcr	PHP	FPM	ngx	Lin	Rea	0
rails-ruby	4,604	2.1%	Ful	Rby	Rac	Uni	Lin	Rea	0
codeigniter	4,311	2.0%	Ful	PHP	FPM	ngx	Lin	Rea	0
sinatra-jruby	4,250	2.0%	Mcr	Rby	JRb	Tor	Lin	Rea	0
php-kohana	3,817	1.8%	Ful	PHP	FPM	ngx	Lin	Rea	0
senthot	3,441	1.6%	Mcr	PHP	FPM	ngx	Lin	Rea	0
silex	2,917	1.4%	Mcr	PHP	FPM	ngx	Lin	Rea	0
lithium	2,707	1.3%	Ful	PHP	FPM	ngx	Lin	Rea	0
sinatra-ruby	2,217	1.0%	Mcr	Rby	Rac	Uni	Lin	Rea	0
fuel	2,126	1.0%	Mcr	PHP	FPM	ngx	Lin	Rea	0
cake	1,769	0.8%	Ful	PHP	FPM	ngx	Lin	Rea	0
silex-orm	1,349	0.6%	Mcr	PHP	FPM	ngx	Lin	Rea	14,205
servicestack-nginx-d	953	0.4%	Plt	C#	Mon	ngx	Lin	Rea	2,827
nancy	896	0.4%	Mcr	C#	Mon	ngx	Lin	Rea	2,025
aspnet-jsonnet-mono	863	0.4%	Plt	C#	Mon	ngx	Lin	Rea	214
aspnet-svcstk-mono	838	0.4%	Plt	C#	Mon	ngx	Lin	Rea	1,915
aspnet-mvc-mono	724	0.3%	Ful	C#	Mon	ngx	Lin	Rea	1,216
phreeze	438	0.2%	Mcr	PHP	FPM	ngx	Lin	Rea	0
symfony2	426	0.2%	Ful	PHP	FPM	ngx	Lin	Rea	6,320
symfony2	425	0.2%	Ful	PHP	FPM	ngx	Lin	Str	6,334
